Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Publisher,Date Published,Year Published,Genre,Summary,Number of Pages,Language,ISBN,Physical Location,Google VolumeID
Moby Dick,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155266.0,Estantería 6.2,k-WhPwAACAAJ
Oliver Twist,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155303.0,Estantería 6.2,aoUWPwAACAAJ
Robin Hood,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155211.0,Estantería 6.2,uQ-jGQAACAAJ
Robinson Crusoe,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155242.0,Estantería 6.2,QVpCPgAACAAJ
Romeo y Julieta,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155365.0,Estantería 6.2,daXnQwAACAAJ
Sandokán,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155310.0,Estantería 6.2,tAIZPQAACAAJ
Tarzán,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155280.0,Estantería 6.2,MMnUQwAACAAJ
Veinte mil leguas de viaje submarino,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155334.0,Estantería 6.2,XwTGQwAACAAJ
Viaje al centro de la tierra,,,,Núria Ochoa,"Ochoa, Núria",El País,,2006.0,,,24.0,español,9788498155297.0,Estantería 6.2,j55CPQAACAAJ
Atlas de España,Volumen I,,,S.A. de Ediciones Aguilar,"Aguilar, S.A. de Ediciones",El País-Aguilar,,1992.0,Administrative and political subdivisions,,288.0,español,9788486459390.0,Estantería 6.3,lvDFAAAACAAJ
Atlas de España,Volumen II,,,María Fernanda Enríquez de Salamanca,"Salamanca, María Fernanda Enríquez de",El País-Aguilar,1993/01/01,1993.0,Maps,,289.0,español,9788486459420.0,Estantería 6.3,vQUTnwEACAAJ
Atlas El País-Aguilar,,,,Esselte kartor (Firm),"(Firm), Esselte kartor","Aguilar, S.A. Ediciones",,1988.0,Reference,,288.0,español,9788486459369.0,Estantería 6.3,IoKBQgAACAAJ
Atlas histórico universal,,,,Juan Avilés Farré,"Farré, Juan Avilés",El País-Aguilar,,1995.0,Atlases,"Historisk atlas, der er velegnet til sprogtræning i spansk",263.0,español,9788403602823.0,Estantería 6.3,cJdwAAAAMAAJ
Atlas Mundial,,,,Andrew Heritage,"Heritage, Andrew",“El” Pais,,,,,,,,Estantería 6.3,
